Name,Nicknames,Age,Born Date,Born Location,Born Country,Continent,Died Date,Died Location,Date Apprehended,Apprehended Age,Conviction,Criminal Penalty,Criminal Penalty Categories,Zodiac Sign
Oba Chandler,"Dave Posner, Dave Posno",65.0,1946-10-11,,,,2011-11-15,,1992-09-24,45,First Degree Murder Armed Robbery Being A Felon In Possession Of A Firearm,"death(November 4, 1994)",Death Sentence,Libra
Dallen Bounds,,28.0,1971-08-09,,,,1999-12-23,,,,,,,Leo
Wayne Adam Ford,,,1961-12-03,,,,,,1998-11-03,36,First Degree Murder With Special Circumstances,death(de jure),Death Sentence,Sagittarius
Heinrich Pommerenke,The Beast of the Black Forest (Ungeheuer vom Schwarzwald),,,"Bentwisch, Nazi Germany",Nazi Germany,,,"Hohenasperg, Asperg, Germany",1959-06-19,,"Murder Attempted Murder, Rape",life imprisonment,Life Imprisonment,
Jerry Brudos,"The Lust Killer, The Shoe Fetish Slayer",67.0,1939-01-31,,,,2006-03-28,,1969-05-29,30,Life Imprisonment ×,,,Aquarius
Robert Maudsley,"Hannibal the Cannibal, The Brain Eater",,1953-06-26,"Speke, Liverpool, England",England,Europe,,,,,"Murder, Count Of Manslaughter",life imprisonment (whole life tariff),Life Imprisonment,Cancer
Aalt Mondria,Aalt,,,"Kampen, Overijssel, Netherlands",Netherlands,Europe,,"Balkbrug, Netherlands",1997-03-07,,Murder,"life imprisonment, commuted to 18 years imprisonment",Life Imprisonment,
Tsutomu Miyazaki,"The Otaku Murderer, The Rat Man",,,"Itsukaichi, Tokyo, Japan",Japan,Asia,2008-06-17,"Tokyo Detention House, Tokyo, Japan",1989-07-23,,Aggravated Murder,death,Death Sentence,
Cody Legebokoff,"Highway of Tears Killer, Country Boy",,1990-01-21," James, British Columbia, Canada",Canada,North America,,,2010-11-27,20,Murder,Four life sentence(s),Life Imprisonment,Aquarius
Stephen Port,The Grindr Killer,,1975-02-22,"Sea, Essex, England",England,Europe,,,2015-01-01,39,,life imprisonment (whole life order),Life Imprisonment,Pisces
Howell Donaldson Iii,"Howell Emanuel , Trai, Donaldson IIISeminole Heights serial killer",,1993-01-26,,,,,,2017-11-28,24,First-Degree Murder,4 consecutive life sentence(s) without the possibility of parole,Life Imprisonment,Aquarius
Arnold Sodeman,The School-Girl Strangler,36.0,1899-12-12,"Hawthorn, Victoria, Australia",Australia,Oceania,1936-06-01,"HM Prison Pentridge, Coburg, Victoria, Australia",,,Murder,death,Death Sentence,Sagittarius
Craig Price,,,1973-10-11,,,,,,1989-09-05,15,,,,Libra
Fritz Honka,,63.0,1935-07-31,"Leipzig, Germany",Germany,Europe,1998-10-19,"Langenhorn, Hamburg, Germany",1975-07-15,39,Murder,,,Leo
Cayetano Santos Godino,,48.0,1896-10-31,"Buenos Aires, Argentina",Argentina,South America,1944-11-15,"Ushuaia, Argentina",1912-12-04,16,,,,Scorpio
Eastbound Strangler,Atlantic City Serial Killer,,,,,,,,,,,,,
Caroline Grills,"Aunty Carrie, Aunt Thally, whilst imprisoned",,,"Balmain, New South Wales, Australia",Australia,Oceania,,"Randwick, New South Wales, Australia",1953-01-01,,Murder,"death, commuted to life imprisonment",Death Sentence,
Gordon Cummins,"The Blackout Killer, The Blackout Ripper, The Wartime Ripper",28.0,1914-02-18,"New Earswick, North Riding of Yorkshire, England",England,Europe,1942-06-25,"HMP Wandsworth, London, England",1942-02-16,28,Murder April,death,Death Sentence,Aquarius
Marc Sappington,The Kansas City Vampire,,1978-02-09,,,,,,,,"First Degree Murder Aggravated Robbery, Aggravated Burglary, Kidnapping",life imprisonment,Life Imprisonment,Aquarius
Peter Woodcock,,71.0,1939-03-05,"Peterborough, Ontario, Canada",Canada,North America,2010-03-05,"Penetanguishene, Ontario, Canada",1957-01-21,17,,,,Pisces
Léopold Dion,Monster of Pont-Rouge,52.0,1920-02-25,"Quebec, Canada",Canada,North America,1972-11-17,"Archambault Institution, Quebec, Canada",1963-05-27,43,Capital Murder,"death, commuted to life imprisonment",Death Sentence,Pisces
John Ingvar Lövgren,"Flickmördaren, John Ingvar Andersson",71.0,1930-10-22,Sweden,Sweden,Europe,2002-02-09,"Salberga prison, Sweden",1963-01-01,32,Murder,Closed psychiatric treatment,Hospital Detention,Libra
Lam Kor-Wan,"The Jars Murderer, The Rainy Night Butcher, The Rainy Night Killer, The Hong Kong Butcher",,1955-05-22,British Hong Kong,British Hong Kong,Asia,,,1982-08-17,27,Murder,"death, commuted to life imprisonment without parole",Death Sentence,Gemini
Jürgen Bartsch,The Carnival Killer (Der Kirmesmörder),29.0,1946-11-06,occupied Germany,occupied Germany,Europe,1976-04-28,"Eickelborn, West Germany",1966-01-01,19,Murder,"life imprisonment, commuted 10 years of juvenile detention",Life Imprisonment,Scorpio
Wayne Boden,"The Vampire Rapist, Strangler Bill",,,"Dundas, Ontario, Canada",Canada,North America,2006-03-27,"Kingston General Hospital, Ontario, Canada",1971-05-19,,Non-Capital Murder,life imprisonment,Life Imprisonment,
Ion Rîmaru,"The Vampire of Bucharest, The Wolf-Man",25.0,1946-10-12,"Corabia, Olt County, Kingdom of Romania",Kingdom of Romania,Europe,1971-10-23,"Jilava Prison, Ilfov County, Socialist Republic of Romania",1971-05-27,24,Aggravated Murder,death,Death Sentence,Libra
David Meirhofer,Mr. Travis,25.0,1949-06-08,,,,1974-09-29,,1974-09-25,25,,,,Gemini
Donald Neilson,The Black Panther,75.0,1936-08-01,"Bradford, West Riding of Yorkshire, England",England,Europe,2011-12-18,"Norwich, Norfolk, England",1975-12-11,39,,life imprisonment,Life Imprisonment,Leo
Thor Nis Christiansen,"The Hitchhiker Slayer, The Look-Alike Murderer",23.0,1957-12-28,Denmark,Denmark,Europe,1981-03-30,,1979-07-11,21,,life imprisonment,Life Imprisonment,Capricorn
Michael Lupo,Michael Lupo,42.0,1953-01-19,"Monte Donato, Bologna, Italy",Italy,Europe,1995-02-12,"Frankland Prison, Brasside, England",1986-05-15,33,Murder Of Attempted Murder,4 life sentence(s)14 years in prison,Life Imprisonment,Capricorn
Peter Lundin,"Niels Schaftner, Bjarne Skounborg, Thomas Kristian Olesen",,1972-02-15,"Roskilde, Denmark",Denmark,Europe,,,2000-07-05,28,Murder,life imprisonment,Life Imprisonment,Aquarius
James Swann,,,,,,,,,,,,,,
Steven Grieveson,The Sunderlstrangler,,1970-12-14,"Sunderland, County Durham, England",England,Europe,,,1994-03-11,23,Murder,Four life sentence(s)(min. 35 years),Life Imprisonment,Sagittarius
Frank Gust,The Rhein-Ruhr Ripper,,1969-05-24,"Oberhausen, West Germany",West Germany,Europe,,,1999-01-01,29,Murder,life imprisonment,Life Imprisonment,Gemini
Alexander Tchayka,The Fur Coat Hunter,,1974-07-23,"Sumy, Ukraine SSR, Soviet Union",Soviet Union,Europe,,,,,,death(commuted to life imprisonment),Death Sentence,Leo
Peter Moore,The Man In Black,,1946-09-19,"St Helens, Lancashire, England",England,Europe,,,,,,life imprisonment (whole life tariff),Life Imprisonment,Virgo
Hiroaki Hidaka,,,,"Miyazaki, Japan",Japan,Asia,2006-12-25,"Hiroshima, Japan",1996-09-21,,Murder,death,Death Sentence,
Nicolai Bonner,The Haifa Homeless Killer,,,Moldavian SSR,Moldavian SSR,Europe,,,2005-05-29,,Murder,life imprisonment x4,Life Imprisonment,
Raúl Osiel Marroquín,"El Sádico, El Asesino del Arcoiris",,1980-09-01,"Tampico, Tamaulipas, Mexico",Mexico,North America,,,2006-01-23,25,Murder And Hate Crime,300 years in prison,Years Imprisonment,Virgo
Richard Kuklinski,"The Iceman, Big Rich, Big Richie",70.0,1935-04-11,,,,2006-03-05,,1986-12-17,51,Murder,Four consecutive life sentence(s),Life Imprisonment,Aries
Harvey Miguel Robinson,,,1974-12-06,,,,,,1993-12-06,19,"First Degree Murder Attempted Murder, Burglary",death,Death Sentence,Sagittarius
Albert Fish,"Frank Howard, Thomas A. Sprague, Robert Hayden, John W. Pell",65.0,1870-05-19,,,,1936-01-16,,1934-12-13,64,"First Degree Murder, Grand Larceny",death,Death Sentence,Taurus
Robert Ben Rhoades,The Truck Stop Killer,,1945-11-22,,,,,,1990-04-01,44,First-Degree Murder,life imprisonment without the possibility of parole,Life Imprisonment,Sagittarius
Peter Tobin,"Up to 40 aliases, including:Peter Wilson, James Kelly, Paul Semple, John Tobin, Peter Proban, Pat Mc, Laughlin",76.0,1946-08-27,"Johnstone, Renfrewshire, Scotland",Scotland,Europe,2022-10-08,"Edinburgh, Scotland",,,"Burglary, Forgery, Murder, Rape",life imprisonment (whole life order),Life Imprisonment,Virgo
Pedro Padilla Flores,"The Rio Bravo Assassin, Many other aliases",,,s,s,,,,,,Murder,life imprisonment,Life Imprisonment,
Stephen Morin,"Rich Clark, Rich Clarke Robert Fred Generoso, Thomas David Hones, Ray Constantino(or Constantine)",,,,,,1985-03-13,,1981-12-12,,"Texas, Capital Murder Colorado, First Degree Murder, Second Degree Kidnapping",death,Death Sentence,
Dorothea Puente,"Death House Llady, Teya Singoalla Neyaarda  Sharon Johansson",82.0,1929-01-09,,,,2011-03-27,,1988-11-11,59,First-Degree Murder With Special Circumstances Second-Degree Murder,life imprisonment without parole,Life Imprisonment,Capricorn
Billy Glaze,"Jesse Coulter, Jesse Sitting Crow, Butcher Knife Billy",72.0,1943-07-13,,,,2015-12-22,,1987-08-31,44,"Rape, Murder",52 years in prison,Years Imprisonment,Cancer
Sidney Cooke,Hissing Sid,,1927-04-18,"Stroud, Gloucestershire, England",England,Europe,,,,,,2 × life sentence(s),Life Imprisonment,Aries
Bertha Gifford,,,,,,,,,1928-01-01,,,Committed to mental facility,Hospital Detention,
Bernhard Prigan,"The Strangler, The Highway Killer",,,Germany,Germany,Europe,,,1952-11-07,,Murder,life imprisonment,Life Imprisonment,
Ronald Janssen,Le Prof,,1971-02-06,"Boorsem, Limburg Province, Belgium",Belgium,Europe,,,,,"Murder, Kidnapping,, Rape",life imprisonment,Life Imprisonment,Aquarius
Patrick Mackay,"David Groves, The Psychopath, The Devil,s Disciple",,1952-09-25,"Middlesex, England",England,Europe,,,1975-03-01,22,Manslaughter,"life imprisonment, 20-years minimum term",Life Imprisonment,Libra
Koos Hertogs,,,,"The Hague, Netherlands",Netherlands,Europe,2015-07-19,"Hertogenbosch, Netherlands",1980-10-03,,,life imprisonment,Life Imprisonment,
Michael Gargiulo,"Hollywood Ripper, Chiller Killer, The Boy Next Door Killer",,1976-02-15,,,,,,2008-06-06,32,"First Degree Murder With Special Circumstances, Attempted Murder",,,Aquarius
Chisako Kakehi,,,1946-11-28,"Yahata, FukuokaOccupied Japan",FukuokaOccupied Japan,Asia,,,2014-01-01,67,Aggravated Murder Attempted Murder,death,Death Sentence,Sagittarius
Heriberto Seda,"The Brooklyn Sniper, The Copycat Zodiac Killer, Faust, The New York Zodiac Killer",,1967-07-31,,,,,,1996-06-18,28,"Attempted Murder, Murder",232 years imprisonment,Years Imprisonment,Leo
Anthony Hardy,Camden Ripper,,,"Burton upon Trent, Staffordshire, England",England,Europe,2020-11-25,"HM Prison Frankland, County Durham, England",2003-01-02,,Murder,Whole life tariff,Life Imprisonment,
Michael Lee Lockhart,,,,,,,1997-12-09,,1988-03-22,,"Texas, Capital Murder, Indiana, Murder, Florida, First Degree Murder",death,Death Sentence,
Peter Dupas,,,1953-07-06,"Sydney, New South Wales, Australia",Australia,Oceania,,,1999-04-22,45,,3 × life imprisonment without parole,Life Imprisonment,Cancer
Stephen Griffiths,Stephen Griffiths,,1969-12-24,"Dewsbury, West Riding of Yorkshire, England",England,Europe,,,2010-05-24,40,Murder,life imprisonment (whole life order),Life Imprisonment,Capricorn
Levi Bellfield,"Yusuf Rahim, The Bus Stop Stalker, The Bus Stop Killer The Hammer Man",,1968-05-17,"Isleworth, London, England",England,Europe,,,2004-11-22,36,,,,Taurus
Hans Van Zon,,56.0,1942-04-20,"Utrecht, Utrecht, Netherlands",Netherlands,Europe,1998-05-11,"Delfzijl, Groningen, Netherlands",1970-12-13,28,Murder,"life imprisonment, commuted to 28.5 years imprisonment",Life Imprisonment,Taurus
Judy Buenoano,"Judias Goodyear, Judy Morris, Judias Buenoano, Judy Goodyear, Judias Morris",54.0,1943-04-04,,,,1998-03-30,,1984-01-11,40,"First Degree Murder Attempted Second Degree Murder, Grand Theft","life imprisonment (June 6, 1984)deathby electric chair (November 26, 1985)",Death Sentence,Aries
Martin Ney,"The Masked Man, The Black Man The Hooded Man",,1970-12-12,,,,,,2011-04-15,40,,life imprisonment,Life Imprisonment,Sagittarius
Paul Denyer,"The Frankston Serial Killer, Paula",,1972-04-14,"Campbelltown, Sydney, New South Wales, Australia",Australia,Oceania,,,1993-01-01,20,,,,Aries
Bandali Debs,,,1953-07-18,"Narre Warren, Victoria, Australia",Australia,Oceania,,,,,"Murder , Armed Robbery",4x life imprisonment plus 27 years without parole[citation needed],Life Imprisonment,Cancer
Gordon Northcott,,,1906-11-09,"Bladworth, Saskatchewan, Canada",Canada,North America,,,1928-09-19,21,First Degree Murder,death,Death Sentence,Scorpio
Peter Kudzinowski,"Ray Rogers, Roy Lambert",26.0,1903-08-13,,,,1929-12-21,,1928-12-03,25,First Degree Murder,death,Death Sentence,Leo
Harvey Glatman,"The Lonely Hearts Killer  The Glamour Girl Slayer, Johnny Glinn, Frank Wilson, George Williams",,,,,,1959-09-18,,1958-10-31,,"First Degree Murder, Kidnapping, Robbery",deathby gas chamber,Death Sentence,
Martha Ann Johnson,Martha Ann Bowen,,,,,,,,1989-07-03,,Murder,life imprisonment,Life Imprisonment,
Vlado Taneski,The Kičevo Monster,,,"Kievo, SFR Yugoslavia",SFR Yugoslavia,Europe,,"Tetovo, Republic of Macedonia",2008-06-22,,,,,
Khalil Wheeler-Weaver,,,1996-04-20,,,,,,,,"Murder Attempted Murder, Aggravated Sexual Assault Aggravated Arson, Kidnapping, Desecration Human Remains",160 years imprisonment,Years Imprisonment,Taurus
William Henry Hance,Chairman of the Forces of Evil,42.0,1951-11-10,United States,United States,North America,1994-03-31,,1978-04-04,26,"Murder December,",death(December 1978 & August 1986),Death Sentence,Scorpio
Charlie Chop-Off,"The Mad Barber, The Pied Piper of Manhattan",,,,,,,,,,Never Convicted,Never sentenced,Not Sentenced,
François Vérove,Le Grêlé,,,"Gravelines, Nord, France",France,Europe,,"Roi, Gard, France",,,,,,
Louise Peete,"Louise M. Gould, Anna Lee",66.0,1880-09-20,,,,1947-04-11,,1944-12-20,64,"First Degree Murder Jacob C. Denton Murder, First Degree Murder Margaret Logan Murder",life imprisonment(Denton murder) death(Logan murder),Death Sentence,Virgo
Westley Allan Dodd,"The Vancouver Child Killer, Shellie , Lee, Brooks",31.0,1961-07-03,,,,1993-01-05,,1989-11-13,28,"Aggravated First Degree Murder Attempted First Degree Murder, First Degree Kidnapping, Child Molestation",Hanging,Death Sentence,Cancer
Scott Erskine,,,1962-12-22,,,,,,1993-01-01,30,"California, First Degree Murder With Special Circumstances Kidnapping, Rape, Forced Oral Copulation With A Firearm Penetration With A Foreign Object, Possession Of A Firearm By A Convicted Felon, Florida, Second Degree Murder","CaliforniadeathFlorida, life imprisonment",Death Sentence,Capricorn
Donald Leroy Evans,"Don, Donny",,,,,,,,1991-08-05,,"Federal, Kidnapping U.S.C. § Mississippi, Capital Murder, Sexual Battery Florida, First Degree Murder, Aggravated Battery","Federal, life imprisonmentMississippideathFlorida, life imprisonment",Death Sentence,
John Martin,"Simon James Davis, The Garden City Butcher",36.0,1959-12-09,"Letchworth, Hertfordshire, England",England,Europe,1996-04-19,"Changi Prison, Singapore",,,Murder,death,Death Sentence,Sagittarius
Richard Evonitz,,38.0,1963-07-29,,,,2002-06-27,,,,Lewd Exposure,Three years of probation,Years Imprisonment,Leo
Harvey Carignan,"The Want-Ad Killer, Harvey the Hammer",95.0,1927-05-18,,,,2023-03-06,,1974-09-24,47,"Territory Of Alaska, First Degree Murder Overturned Assault With Intent To Commit Rape, Washington, Second Degree Burglary, Parole Violation, Minnesota, First Degree Murder, Second Degree Murder, Attempted Murder, Aggravated Sodomy Sodomy Upon A Child, Indecent Liberties, Attempted Third Degree Burglary","Territory of Alaskadeath, commuted to 15 years imprisonmentWashington, 15 years imprisonmentMinnesota, life imprisonment",Death Sentence,Taurus
John Joubert,,33.0,1963-07-02,,,,1996-07-17,,1984-01-12,20,"Nebraska, First Degree Murder Maine, Murder","NebraskadeathMaine, life imprisonment",Death Sentence,Cancer
Akku Yadav,,,,India,India,Asia,,"Nagpur District Court, Vidarbha, Maharashtra, India",2004-08-07,,,,,
Michael Madison,,,1977-10-15,,,,,,2013-07-19,35,"Sexually Motivated Aggravated Murder Kidnapping Rape, Attempted Rape, Abuse Of A Corpse Having A Weapon Under A Disability",death,Death Sentence,Libra
Bible John,,,,,,,,,,,,,,
Andrew Dawson,,,,"Ormskirk, Lancashire, England",England,Europe,,,,,,life imprisonment with a whole-life order,Life Imprisonment,
Leonarda Cianciulli,"The Soap-Maker of Correggio, (Italian: la Saponificatrice di Correggio)",76.0,1894-04-14,"Montella, Avellino, Italy",Italy,Europe,1970-10-15,"Pozzuoli, Naples, Italy",,,,33 years of detention,Years Imprisonment,Aries
Sharon Kinne,"Jeanette Pugliese, La Pistolera",,1939-11-30,,,,,,,,"Murder James Kinne Overturned, Charges Remain Pending Homicide Francisco Parades Ordoñez",,,Sagittarius
Ted Kaczynski,"Unabomber, FC",81.0,1942-05-22,,,,2023-06-10,,1996-04-03,53,"Of Transportation, Mailing, And Use Of Bombs; Three Of First-Degree Murder",Several consecutive life sentence(s) without the possibility of parole[a],Life Imprisonment,Gemini
Leon Dorsey,"Pistol Pete, The Blockbuster Killer",32.0,1975-11-17,,,,2008-08-12,,1994-09-14,18,"Capital Murder, Murder","60 years (Chon murder), death(Lindsey and Armstrong murders)",Death Sentence,Scorpio
Charles Albanese,Charles Romaine,58.0,1937-06-13,,,,1995-09-20,,1981-11-18,44,"Murder Attempted Murder, Armed Robbery, Theft",death,Death Sentence,Gemini
Jason Thornburg,,,1980-08-27,,,,,,,,Capital Murder,death,Death Sentence,Virgo
George Chapman,Ludwig Schloski,37.0,1865-12-14,"Nagrna, Congress Poland",Congress Poland,Europe,1903-04-07,"Wandsworth Prison, London, England",1903-01-01,37,Murder,death,Death Sentence,Sagittarius
Martha Rendell,,38.0,1871-08-10,Australia,Australia,Oceania,1909-10-06,"Fremantle Prison, Fremantle, Western Australia, Australia",1909-07-01,37,Wilful Murder,death,Death Sentence,Leo
George Joseph Smith,"Brides in the Bath Murderer, George Oliver Love, George Rose Smith, Charles Oliver James, Henry Williams, John Lloyd",43.0,1872-01-11,"Bethnal Green, London, England",England,Europe,1915-08-13,"Maidstone, Kent, England",1915-03-23,43,,death,Death Sentence,Capricorn
Daisy De Melker,,46.0,1886-06-01,"Seven Fountains, Cape Colony",Cape Colony,Africa,1932-12-30,"Pretoria Central Prison, Pretoria, Union of South Africa",1932-04-01,45,Murder,death,Death Sentence,Gemini
Eddie Leonski,"The Brownout Strangler, The Singing Strangler",24.0,1917-12-12,"Kenvil, New Jersey, United States",United States,North America,1942-11-09,"Pentridge Prison, Coburg, Victoria, Australia",1942-05-22,24,Premeditated Murder,death,Death Sentence,Sagittarius
William Heirens,The Lipstick Killer,83.0,1928-11-15,,,,2012-03-05,,1946-06-26,17,Murder,life imprisonment,Life Imprisonment,Scorpio
John Straffen,,77.0,1930-02-27,"Bordon Camp, Hampshire, England",England,Europe,2007-11-19,"HM Prison Frankland, County Durham, England",1951-08-09,21,,Detained at His Majestys pleasure (17 October 1951) death(24 July 1952) Commuted to life imprisonment (29 August 1952),Death Sentence,Pisces
Richard Laurence Marquette,,,1934-12-12,,,,,,,,"First Degree Murder, Murder",life imprisonment,Life Imprisonment,Sagittarius
Graham Young,The Teacup Poisoner,42.0,1947-09-07,"Neasden, Middlesex, England, UK",UK,Europe,1990-08-01,"HMP Parkhurst, Isle of Wight, England, UK",,,,,,Virgo
Charles Schmid,"The Pied Piper of Tucson, Smitty",32.0,1942-07-08,,,,1975-03-30,,1965-11-10,23,First-Degree Murder Second Degree Murder,"death, commuted to life imprisonment",Death Sentence,Cancer
Lee Roy Martin,The Gaffney Strangler,,,,,,,,1969-02-15,,Murder,life imprisonment,Life Imprisonment,
Erwin Hagedorn,,20.0,1952-01-30,"Eberswalde, Brandenburg, East Germany",East Germany,Europe,1972-09-15,"Leipzig Prison, Leipzig, East Germany",1971-11-12,19,"Murder With Aggravating Circumstances Sexual Abuse Of Children, Attempted Sexual Abuse Of Children",death,Death Sentence,Aquarius
Karl F. Warner,,,,,,,,,,,Murder,life imprisonment,Life Imprisonment,
Howard Arthur Allen,,71.0,1949-02-10,,,,2020-06-05,,1987-08-04,38,"Murder, Voluntary Manslaughter, Robbery With Serious Bodily Injury, Theft","death, commuted to 98 years imprisonment",Death Sentence,Aquarius
Trevor Hardy,"The Beast of Manchester, The Monster of Manchester",,,"Newton Heath, Manchester, England",England,Europe,,"HM Prison Wakefield, West Yorkshire, England",1976-08-01,,,life imprisonment,Life Imprisonment,
Steven David Catlin,,,,"Kern County, California, United States",United States,North America,,,,,Murder,death,Death Sentence,
Paul Michael Stephani,The Weepy-Voiced Killer / Weepy-Voiced Man,,,,,,,,1982-08-21,,Of Attempted Murder Murder,58 years in prison,Years Imprisonment,
Dámaso Rodríguez Martín,"El Brujo, Maso",46.0,1944-12-11,"El Batn, San Cristbal de La Laguna, Tenerife, Canary Islands",Canary Islands,,1991-02-19,"El Sols, Tegueste, Tenerife, Canary Islands",,,,,,Sagittarius
Altemio Sanchez,"The Bike Path Killer, The Bike Path Rapist, Uncle Al",65.0,1958-01-19,,,,2023-09-22,,2007-01-15,49,"Second Degree Murder Rape, Solicitation",75 years to life in prison,Life Imprisonment,Capricorn
Gregory Brazel,,,1954-11-17,"Blacktown, New South Wales, Australia",Australia,Oceania,,,1990-09-26,35,"Contempt Of Court, Armed Robbery, Murder Arson, Bribery","life imprisonment x3, non-parole period of 30 years",Life Imprisonment,Scorpio
Brian Dugan,,,1956-09-23,,,,,,1985-06-03,28,,,,Libra
Valery Asratyan,The Director,,,"Yerevan, Armenian SSR, Soviet Union",Soviet Union,Europe,,"Butyrka Prison, Moscow, Moscow Oblast, Russia",1990-01-01,,Murder With Aggravating Circumstances,death,Death Sentence,
Francisca Ballesteros,"The Melilla Poisoner, The Poisoner of Melilla, Paqui Ballesteros",,,"Valencia, Spain",Spain,,,,,,"Murder, Attempted Murder",,,
Silvo Plut,,38.0,1968-05-29,"Novo Mesto, Socialist Republic of Slovenia, Socialist Federal Republic of Yugoslavia",Socialist Federal Republic of Yugoslavia,Europe,2007-04-28,"Ljubljana, Slovenia",,,,,,Gemini
Gabriel Garza Hoth,The Black Widower,,,Gabriel Garza HothMexico,Gabriel Garza HothMexico,North America,,,,,,,,
Robert Napper,"The Green Chain Rapist, The Plumstead Ripper",,1966-02-25,"Erith, London, United Kingdom",United Kingdom,Europe,,,1994-05-01,28,,Indefinite detention in a psychiatric hospital,Hospital Detention,Pisces
Antonis Daglis,The Athens Ripper,,,,,,1997-08-02,Greece,,,,life imprisonment plus 25 years,Life Imprisonment,
Gustavo Romero Tercero,The Valdepeñas Killer,,1971-12-16,"Valdepeas, Spain",Spain,,,,2003-10-09,31,,103 years in prison,Years Imprisonment,Sagittarius
Peter Bryan,,,1969-10-04,"London, England",England,Europe,,,1994-01-01,24,,,,Libra
Lam Kwok-Wai,The Tuen Mun Rapist,,1971-01-27,Hong Kong,Hong Kong,Asia,,,1993-08-09,22,Murder Robbery Rape,life imprisonment,Life Imprisonment,Aquarius
Dana Sue Gray,,,1957-12-06,"Southern California, United States",United States,North America,,,1994-03-16,36,"Murder, Attempted Murder, Robbery",,,Sagittarius
Robin Ligus,,70.0,1952-03-06,"Baschurch, Shropshire, England",England,Europe,2022-12-16,"Birmingham, England",,,,,,Pisces
Jack Owen Spillman,The Werewolf Butcher,,1969-08-30,,,,,,1995-04-19,25,First Degree Murder,life imprisonment without parole,Life Imprisonment,Virgo
Scott Williams,,,1963-12-03,,,,,,2006-03-09,42,First Degree Murder,life imprisonment,Life Imprisonment,Sagittarius
Juan Covington,,,1962-03-03,,,,,,2005-07-12,43,Murder Attempted Murder,life imprisonment x3,Life Imprisonment,Pisces
Matthew James Harris,,,1968-06-30,"Wagga Wagga, New South Wales, Australia",Australia,Oceania,,,1998-12-01,30,Murder ×,2 × life imprisonment + 40 years,Life Imprisonment,Cancer
Yukio Yamaji,,25.0,1983-08-21,"Shimonoseki, Yamaguchi, Japan",Japan,Asia,2009-07-28,"ku, Osaka, Japan",2005-12-05,22,Murder,death,Death Sentence,Leo
Hiroshi Maeue,The Suicide Website Murderer,40.0,1968-08-08,"Osaka Prefecture, Japan",Japan,Asia,2009-07-28,"Osaka Detention House, Osaka, Japan",2005-08-08,37,Murder,death,Death Sentence,Leo
António Luís Costa,,,,"Santa Comba Do, Portugal",Portugal,Europe,,,2006-06-24,,Murder,25 years imprisonment,Years Imprisonment,
Özgür Dengiz,Cannibal of Ankara,,,"Edirne, Turkey",Turkey,Asia,,,2007-09-14,,,life imprisonment (x2) (overturned)Psychiatric imprisonment,Life Imprisonment,
Mario Alberto Sulú Canché,"The Young Girls Killer (Spanish: , El Matachavitas, )Mario Alberto Sulub Canché",,,"Mrida, Yucatn, Mexico",Mexico,North America,2008-08-29,"Mrida Social Readaptation Center, Mrida, Yucatn, Mexico",2008-08-04,,,40 years imprisonment,Years Imprisonment,
Kimberly Mccarthy,,52.0,1961-05-11,,,,2013-06-26,,1997-07-21,36,Capital Murder,"death(November 24, 1998 & November 1, 2002)",Death Sentence,Taurus
Larry Hall,,,1962-12-11,,,,,,1994-10-28,31,Kidnapping U.S.C. §,life imprisonment without parole,Life Imprisonment,Sagittarius
Alejandro Máynez,,,,sMexico,sMexico,North America,,,,,,,,
Billy Gohl,"Ghoul of Grays Harbor , Billy Montana",,,Germany,Germany,Europe,,"Eastern State Hospital Spokane County, Washington, United States",1910-01-01,,,life imprisonment,Life Imprisonment,
Gerard John Schaefer,Jerry Shepherd  The Killer Cop  The Hangman  The Butcher of Blind Creek,,,,,,1995-12-03,,1973-04-07,,First Degree Murder,life imprisonment,Life Imprisonment,
Macario Alcala Canchola,Mexican Jack,,,"Mexico City, Mexico",Mexico,North America,,,1962-09-01,,,"60 years in prison, maximum penalty in this time in Mexico City.",Years Imprisonment,
Bruce Lindahl,,28.0,1953-01-29,,,,1981-04-04,,,,,,,Aquarius
Robert Zarinsky,,68.0,1940-09-02,"Linden, New Jersey, US",US,North America,2008-11-28,,1975-02-22,34,Murder,life imprisonment,Life Imprisonment,Virgo
Ed Gein,"Eddie, The Mad Butcher, The Plainfield Ghoul, The Plainfield Butcher, The Butcher of Plainfield",77.0,1906-08-27,,,,1984-07-26,,1957-11-16,51,First Degree Murder Later Found Legally Insane,Institutionalized in the Mendota Mental Health Institute,Hospital Detention,Virgo
José Luis Calva,,,,"Mexico City, Mexico",Mexico,North America,2007-12-11,,2007-10-01,,"Murder, Cannibalism",,,
Shirley Winters,,,1958-02-27,New York,New York,North America,,,2007-03-01,49,Murder,,,Pisces
Richard Rogers,The Last Call Killer,,1950-06-16,,,,,,2001-05-28,50,"First Degree Murder ×, Hindering Apprehension ×",life imprisonment,Life Imprisonment,Gemini
Rabidin Satir,Rambo Bentong,,,"Kampung Libang Ulu, Tambunan, Sabah, Malaysia",Malaysia,Asia,,,,,"Murder Two Robbery, Firearm Offence, Multiple Rape And Sexual Assault",,,
Castration Serial Murders,,,,,,,,,,,,,,
Steven Brian Pennell,"The Route 40 Killer, The Corridor Killer, The Route 13 Killer",,,,,,,,1988-11-29,,First Degree Murder,death,Death Sentence,
