Name,Killer Type,Country,Country Sorted,Continent,Start Year,End Year,Median Year,Years Active,Decade,Total Victims (Unproven + Proven),Unproven Possible Victims,Proven Victims,Notes
Alejandro Máynez,Male,Mexico,Mexico,North America,1980,,,,<NA>s,50,48,2,"Killed at least two women in Ciudad Juárez, but believed to be 50. Supposedly, along with Ana Benavides and Melchor Máynez."
Billy Gohl,Male,United States,United States,North America,1901,1913,1907,12,1900s,90,88,2,"Alleged to have killed from 40 to 140 seamen in Aberdeen, Washington"
Gerard John Schaefer,Male,United States,United States,North America,1969,1973,1971,4,1970s,30,28,2,"Florida police officer who killed up to 34 women and girls. Stabbed to death by fellow inmate Vincent Faustino Rivera on December 3, 1995."
Macario Alcala Canchola,Male,Mexico,Mexico,North America,1960,1962,1961,2,1960s,12,10,2,"Known as ""Mexican Jack""; convicted of the murders of two sex workers but suspected of at least twelve more murders."
Bruce Lindahl,Male,United States,United States,North America,1974,1981,1977,7,1970s,12,9,3,Accidentally killed himself while stabbing one of his victims; posthumously connected to various rape-murders in Dupage County.
Robert Zarinsky,Male,United States,United States,North America,1958,1974,1966,16,1960s,10,8,2,Killed people between 1958 and 1974.
Ed Gein,Male,United States,United States,North America,1954,1957,1955,3,1950s,8,6,2,"Famous for his necrophiliac behaviours, as well as using/storing body parts of his victims to make household furniture, clothing and other miscellaneous household items."
José Luis Calva,Male,Mexico,Mexico,North America,2007,2016,2011,9,2010s,8,6,2,Killed and cannibalized women. Hanged himself in prison after being convicted to 84 years for two murders.
Shirley Winters,Female,United States,United States,North America,1979,2007,1993,28,1990s,7,5,2,"Confessed in 2008 to killing 2 children (including her 5-month old son), 27 years apart. Plea agreement for those murders included clause stopping investigation of her role in a fire that killed 2 previous children in 1979. Is also a suspect in a separate fire that killed 3 children of a friend in 1979."
Richard Rogers,Male,United States,United States,North America,1973,1993,1983,20,1980s,7,5,2,"Rogers, a gay man, was convicted of two murders and implicated by forensics in two others. He was also suspected of murdering two other men, and was charged but acquitted for murdering a college student in 1973."
Rabidin Satir,Male,Malaysia,Malaysia,Asia,2009,2012,2010,3,2010s,6,4,2,"Nicknamed ""Rambo Bentong"". Rabidin had raped and murdered a 17-year-old schoolgirl Annie Kok Yin Cheng in March 2009 and battered 31-year-old forestry department employee Khairul Hazri Jamaludin to death in November 2012. Rabidin was convicted of both these murders and given two death sentences in 2014 and 2015 respectively. Rabidin was suspected of killing three to four more people: a nine-year-old girl, an elderly married couple in their 70s and a 63-year-old man between 2010 and 2012."
Castration serial murders,Male,United States,United States,North America,1980,1986,1983,6,1980s,5,3,2,"Unidentified perpetrator who kidnapped young men, castrated them and shot them in the back of the head. Forensics proved at least two of the victims were killed by the same person."
Steven Brian Pennell,Male,United States,United States,North America,1987,1988,1987,1,1980s,5,3,2,"Known as ""The Corridor Killer"" and ""The Route 40 Killer""; convicted of torture-murdering two women, pleaded no contest to two more and suspected of a fifth in Delaware in 1987 and 1988. Executed by lethal injection March 14, 1992."
Glen Rogers,Male,United States,United States,North America,1995,1999,1997,4,1990s,5,3,2,"His capture in Kentucky ended a nationwide manhunt that began with the ""Cross-Country Killer's"" crime spree that stretched from coast to coast and left four women and one man from five different states dead. Rogers was convicted and sentenced to death by electric chair in Florida in 1997 for the stabbing death of Tina Marie Cribbs. He was later convicted and given a second death penalty in California for the September 1995 murder of Sandra Gallagher. Also known as the ""Casanova Killer"", Rogers is the lone suspect in the stabbing deaths of two other women (Linda Price in Jackson, Mississippi and Andy Jiles Sutton in Bossier City, Louisiana), both of whom—like Cribbs and Gallagher—he'd met and befriended in bars. The earliest homicide Rogers is suspected of is that of an elderly Ohio man, Mark Peters, with whom Rogers had lived for a short time. In 1994, Peters' remains were discovered in a Rogers ""family cabin"" in Kentucky."
Mary Elizabeth Wilson,Female,United Kingdom,United Kingdom,Europe,1955,1957,1956,2,1950s,4,2,2,"""The Merry Widow of Windy Nook"". Believed to have poisoned her four husbands in a period of only two years. Sentenced to death for two murders but changed to life in prison, where she died in 1963."
Bradley Edwards,Male,Australia,Australia,Oceania,1996,1997,1996,1,1990s,3,1,2,Murders of two young women and the disappearance of a third in 1996 and 1997.
Hadden Clark,Male,United States,United States,North America,1986,1992,1989,6,1980s,2,0,2,"Killed and cannibalized a 6-year-old victim and a 23-year-old victim, and confessed to the murder of an unidentified woman nicknamed Lady of the Dunes."
Gary M. Heidnik,Male,United States,United States,North America,1986,1987,1986,1,1980s,2,0,2,"Kidnapped, tortured, raped and imprisoned six women in his Philadelphia, Pennsylvania basement, killing two."
Ronny Rieken,Male,Germany,Germany,Europe,1996,1998,1997,2,1990s,2,0,2,Raped and killed two girls ages 11 and 13. He was caught as a result of mass DNA screening and sentenced to life imprisonment.
Johann Otto Hoch,Male,"United States, Austria, France, United Kingdom",Multiple Countries,North America,1888,1905,1896,17,1890s,50,49,1,"Swindler who married several women under different aliases, most of whom died after a few months; others disappeared without a trace. Convicted of one murder by poisoning and hanged."
Carl Großmann,Male,Germany,Germany,Europe,1918,1921,1919,3,1910s,50,49,1,"Known as ""The Berlin Butcher"". Killed women and sold their flesh on the black market. Only one body found. Hanged himself in his cell after being sentenced to death."
Sailson Jose das Gracas,Male,Brazil,Brazil,South America,2005,2014,2009,9,2000s,41,40,1,Claims to have murdered 41 people in a nine-year killing spree that started at the age of 17.
Bobby Jack Fowler,Male,"United States, Canada",Multiple Countries,North America,1969,1996,1982,27,1980s,20,19,1,"One murder proven, suspected of up to 20 more. Suspect in the Highway of Tears murders."
Leszek Pękalski,Male,Poland,Poland,Europe,1984,1992,1988,8,1980s,17,16,1,"Called ""The Vampire of Bytów"". Charged with 17 murders but convicted of only one (to 25 years in prison) for faulty collection of evidence. During the investigation he admitted to killing 80 people but later retracted his confession."
Daniel Conahan,Male,United States,United States,North America,1994,1996,1995,2,1990s,12,11,1,Convicted of one murder and has been linked to over a dozen murders.
Tillie Klimek,Female,United States,United States,North America,1914,1921,1917,7,1910s,6,5,1,Chicago woman who poisoned her husbands; only convicted of the murder of her third husband. Sentenced to life imprisonment.
Lyda Southard,Female,United States,United States,North America,1915,1920,1917,5,1910s,6,5,1,"Suspected of killing her brother-in-law, four husbands and a daughter, but was only convicted of killing her fourth husband, Edward Meyer."
John Norman Collins,Male,United States,United States,North America,1969,1978,1973,9,1970s,6,5,1,"Convicted of the murder of Karen Sue Beineman, suspected in the murder of at least five other young women in the vicinity of Ann Arbor and Ypsilanti, Michigan."
Velma Barfield,Female,United States,United States,North America,1971,1978,1974,7,1970s,5,4,1,"Confessed to five poisonings with arsenic but was only tried and convicted for one. First woman to be executed in the United States after the 1976 resumption of capital punishment, receiving lethal injection in 1984."
Raymond Morris,Male,United Kingdom,United Kingdom,Europe,1962,1971,1966,9,1960s,3,2,1,"Known as the ""A34 Killer""; convicted of one murder, considered to have committed at least two more."
Robert Anthony Buell,Male,United States,United States,North America,1981,1983,1982,2,1980s,3,2,1,Sentenced to death for the murder of a young girl and chief suspect in the murders of two others. Executed by lethal injection in 2002.
Hensley Anthony Neville,Male,"Singapore, Malaysia",Multiple Countries,Asia,1984,1986,1985,2,1980s,3,2,1,A Singaporean sentenced to death for the 1984 rape and murder of a 19-year-old interior engineer in Singapore and chief suspect of a 1986 double murder in Malaysia. Executed by hanging on 28 August 1992.
Harold Shipman,Male,United Kingdom,United Kingdom,Europe,1975,1998,1986,23,1980s,250,32,218,"Convicted of 15 murders and found to be responsible for the deaths of 218 patients identified by inquiry, but is believed to have killed around 250 people. He injected diamorphine into his patients and then falsified the medical records, reporting that his patient had been in poor health. Hanged himself in prison in 2004."
Steven Massof,Male,United States,United States,North America,2003,2008,2005,5,2000s,100,0,100,"Massof, who worked at Kermit Gosnell's abortion clinic, testified that he snipped the spines of more than 100 babies after seeing them show signs of life."
Niels Högel,Male,Germany,Germany,Europe,1999,2005,2002,6,2000s,300,215,85,"Nurse who was sentenced to life imprisonment for the murder of more than 85 people. In November 2017, German prosecutors said that the number of victims was at least 106, with Högel admitting, in October 2018, to murdering 100 patients. By May 2019, he was believed to be the most prolific serial killer in peacetime Germany with up to 300 victims over fifteen years."
Baba Anujka,Male,Kingdom of Yugoslavia,Kingdom of Yugoslavia,Europe,,,,,<NA>s,150,100,50,"Anujka was an accomplished amateur chemist from the village of Vladimirovac, Yugoslavia (modern day Serbia). She poisoned at least 50 people and possibly as many as 150 in the late 19th and early 20th centuries. Was sentenced to 15 years in prison in 1929 but released after eight years due to old age."
Kermit Gosnell,Male,United States,United States,North America,,2010,,,<NA>s,200,152,48,"Kermit Gosnell is an American serial-killer and former physician who ran an abortion clinic known as the ""House of Horrors."" Authorities discovered the remains of at least 47 late-term aborted children stored in bags or cartons, several of which appeared to be killed after birth. He was convicted in 2011 for 3 counts of first-degree murder of babies he delivered alive and then severed the spinal cords of, 1 count of manslaughter for the death of a woman he performed an abortion on, and over 200 counts of other abortion-related laws. Testimony indicated hundreds of similar procedures carried out by Gosnell and his staff."
Louay Omar Mohammed al-Taei,Male,Iraq,Iraq,Asia,2005,2006,2005,1,2000s,43,0,43,"Medical doctor found to have killed 43 wounded policemen, soldiers and officials in Kirkuk; was a member of an insurgent cell."
Donald Harvey,Male,United States,United States,North America,1970,1987,1978,17,1970s,72,35,37,Self-professed Angel of Death. Worked as an orderly in Cincinnati-area hospitals and preyed on his patients. Claimed to have killed 87 patients starting at age 18. Active 1970–1987. Sentenced to 28 life sentences in Ohio.
Jane Toppan,Female,United States,United States,North America,1885,1901,1893,16,1890s,31,0,31,Nurse that confessed to poisoning 31 patients. Found not guilty by reason of insanity and interned in a mental institution until her death in 1938.
Charles Cullen,Male,United States,United States,North America,1988,2003,1995,15,1990s,400,371,29,"Nurse in New Jersey and Pennsylvania who murdered at least 29 patients between 1988 and 2003, but experts believe the number could be as high as 400. Cullen has admitted to more murders, which authorities believe are likely, but the murders cannot be verified due to lack of records."
Stephan Letter,Male,Germany,Germany,Europe,2003,2004,2003,1,2000s,29,0,29,Nurse who killed 29 patients; sentenced to life imprisonment in 2006.
Anders Hansson,Male,Sweden,Sweden,Europe,1978,1979,1978,1,1970s,27,0,27,"A Nurse Aide who poisoned victims with gevisol and ivisol. His actions were called ""The Hospital Murders"" (Swedish: Sjukhusmorden)."
Marcel Petiot,Male,France,France,Europe,1926,1944,1935,18,1930s,63,37,26,Active 1926 and from 1942 to 1944. Petiot is suspected of having killed up to 63 in total. Executed in 1946.
Arnfinn Nesset,Male,Norway,Norway,Europe,,1983,,,<NA>s,82,60,22,"Norwegian nurse and most prolific known serial killer in Scandinavian history, convicted in 1983 of poisoning at least 22 patients with Curacit; however he initially confessed to 27 murders; later he retracted his confessions and claimed he had killed 138 patients. Was released from prison in 2004 after serving 21 years, the maximum punishment possible by Norwegian law."
Roger Andermatt,Male,Switzerland,Switzerland,Europe,1995,2001,1998,6,1990s,22,0,22,"Known as the ""Death-Keeper of Lucerne""; nurse who killed 22 patients; most prolific Swiss serial killer in history; sentenced to life imprisonment."
Linda Hazzard,Female,United States,United States,North America,1908,1912,1910,4,1910s,17,2,15,"Quack doctor and swindler who manipulated her patients into fasting until they starved themselves to death. 17 deaths were attributed to this practice, with evidence of 15 being presented at her trial. She was pardoned after serving two years imprisonment with hard labour and later starved herself to death attempting her own fasting cure."
Maxim Petrov,Male,Russia,Russia,Europe,2000,2002,2001,2,2000s,19,7,12,Doctor who killed his patients in St. Petersburg. Suspected of 19 murders.
Joan Vila,Female,Spain,Spain,Europe,2009,2010,2009,1,2000s,15,4,11,"Nursing home worker who fatally poisoned 11 elderly residents or more in Olot. In the trial he claimed they were mercy kills intended to spare the victims of further suffering, although three of them were administered caustic cleaning materials that caused severe burns and a long agony."
Vickie Dawn Jackson,Female,United States,United States,North America,2000,2001,2000,1,2000s,20,10,10,"Vocational nurse at Nocona General Hospital who murdered patients who irritated her with injections of Mivacron. She was convicted of 10 murders, although law enforcement suspected her in around 20 suspicious deaths."
Ann Arbor Hospital Killer,Male,United States,United States,North America,1975,1984,1979,9,1970s,10,0,10,Poisonings of 10 patients at the Veteran's Administration Hospital in 1975. Filipino nurses Filipina Narciso and Leonora Perez were tried for the crimes.
Ludivine Chambet,Male,France,France,Europe,2012,2013,2012,1,2010s,10,0,10,"Known as ""The Poisoner of Chambéry""; nurse's aide who poisoned elderly patients; sentenced to 25 years imprisonment."
Frederick Mors,Male,United States,United States,North America,1914,1915,1914,1,1910s,8,0,8,"Born Carl Menarik, Austrian who killed 8 elderly patients by poisoning in New York. Sent to an asylum and escaped. Never caught."
Elizabeth Wettlaufer,Female,Canada,Canada,North America,2007,2018,2012,11,2010s,8,0,8,"Confessed to murdering eight senior citizens and attempting to murder six others in southwestern Ontario. With a total of fourteen victims either killed or injured by her actions, she is described as one of the worst serial killers in Canadian history."
Petr Zelenka,Male,Czech Republic,Czech Republic,Europe,2006,2015,2010,9,2010s,21,14,7,Killed his victims with a lethal injection of heparin from May to September 2006. Ten people survived his murder attempt. Suspected of up to 14 additional murders.
Marianne Nölle,Male,Germany,Germany,Europe,1984,1992,1988,8,1980s,17,10,7,Nurse who was convicted of killing seven patients between 1984 and 1992; suspected of killing 17; sentenced to life imprisonment in 1993.
Lucy Letby,Female,United Kingdom,United Kingdom,Europe,2015,2016,2015,1,2010s,7,0,7,"Nurse convicted of murdering seven babies and attempting to murder another six while working at Countess of Chester Hospital in Chester, England."
Orville Lynn Majors,Male,United States,United States,North America,1993,1995,1994,2,1990s,130,124,6,"LPN in Vermillion County Ind., Preyed on elderly patients—thought to have killed many of them with injections of potassium chloride. Sentenced to 360 years in Indiana."
Efren Saldivar,Male,United States,United States,North America,1989,1997,1993,8,1990s,50,44,6,"Respiratory therapist who killed six patients, possibly as many as 120."
Christine Malèvre,Male,France,France,Europe,,1998,,,<NA>s,30,24,6,"Nurse who killed terminally ill patients claiming that they had asked her to help them die, something denied by their families. Sentenced to 12 years in prison for six murders and suspect of 30."
Antoinette Scieri,Female,France,France,Europe,1924,1925,1924,1,1920s,12,6,6,Nurse who poisoned her elderly patients. Death sentence was commuted to life in prison and she died in prison.
Ahmad Ahmadi,Male,Imperial State of Iran,Imperial State of Iran,Multiple continents,1931,1944,1937,13,1930s,6,0,6,Responsible for killing political prisoners at Qasr prison during the reign of Reza Shah.
Kristen Gilbert,Female,United States,United States,North America,1990,1996,1993,6,1990s,70,65,5,"Nurse at a Massachusetts Veterans Medical Center who injected male patients with epinephrine, causing heart attacks. Sentenced to life without parole."
Frans Hooijmaijers,Female,Netherlands,Netherlands,Europe,1970,1975,1972,5,1970s,259,254,5,"Nurse who was convicted for killing five patients at a hospital in Kerkrade, the Netherlands from 1970 to 1975, but was suspected to have killed approximately 259 people."
Miyuki Ishikawa,Female,Japan,Japan,Asia,1946,1948,1947,2,1940s,84,79,5,"Killed 84 newborn children at maximum. As a midwife, she killed infants born to parents unwilling to care for them during the prohibition of abortion in Japan. Arrested in 1948, and sentenced to four years imprisonment in 1953 as final decision."
Amy Archer-Gilligan,Female,United States,United States,North America,1910,1917,1913,7,1910s,48,43,5,"A nursing home proprietor believed to have poisoned as many as 60 patients from her homes and her second husband. Charged with five murders originally, this was lowered to just one following her admission of guilt, and was found guilty of second degree murder. Died in a mental hospital in 1962."
Sonya Caleffi,Female,Italy,Italy,Europe,2003,2004,2003,1,2000s,18,13,5,Nurse who poisoned terminally-ill patients; sentenced to 20 years imprisonment.
Aino Nykopp-Koski,Female,Finland,Finland,Europe,2004,2009,2006,5,2000s,5,0,5,Nurse who killed five elderly patients using sedatives and opiates in Finland.
Kimberly Clark Saenz,Female,United States,United States,North America,2008,2017,2012,9,2010s,5,0,5,Killed five patients by using syringes to inject bleach into their dialysis lines.
Michael Swango,Male,"United States, Zimbabwe",Multiple Countries,North America,1981,1997,1989,16,1980s,47,43,4,Medical Doctor who killed patients.
Edson Izidoro Guimarães,Male,Brazil,Brazil,South America,,1999,,,<NA>s,131,127,4,"Nurse who injected patients with potassium chloride or removed their oxygen mask. Confessed to five murders which he claimed to be mercy killings and was convicted of four in 2000; sentenced to 76 years in prison. He may have killed as many as 131 patients for money, as he was paid $60 for informing local funeral homes of a patient's death so that they could contact the deceased's relatives first."
Richard Angelo,Male,United States,United States,North America,1987,1996,1991,9,1990s,25,21,4,"Known as ""The Angel of Death"". New York nurse convicted of four murders, linked to six other deaths. Suspected of killing up to 25 people."
Colin Norris,Male,United Kingdom,United Kingdom,Europe,2002,2011,2006,9,2000s,18,14,4,"Convicted of murdering four elderly women and attempting to murder another in two Leeds hospitals during 2002 while working as a nurse. He had injected the women, who were only in hospital due to broken hips, with massive overdoses of insulin. He was sentenced to life imprisonment with a minimum term of 30 years in 2008."
Beverley Allitt,Female,United Kingdom,United Kingdom,Europe,1991,2000,1995,9,1990s,4,0,4,Convicted of murdering four children and attacking another six in the Lincolnshire hospital where she worked as a nurse. Given 13 life sentences.
Abraao Jose Bueno,Male,Brazil,Brazil,South America,2005,2014,2009,9,2000s,4,0,4,Nurse who injected young children with sedatives until they stopped breathing. He would then alert doctors in an attempt to earn the respect of his colleagues for being the first one to notice that something was wrong. Convicted of 4 deaths and 4 more murder attempts to 110 years in prison.
Andrés Ulises Castillo Villarreal,Male,Mexico,Mexico,North America,2009,2015,2012,6,2010s,12,9,3,"Known as ""The Chihuahua Ripper""; drugged, raped and then killed men in Chihuahua; sentenced to 120 years imprisonment."
Elfriede Blauensteiner,Female,Austria,Austria,Europe,1981,1995,1988,14,1980s,10,7,3,"Known as ""The Black Widow""; poisoned people for material gain; died from a brain tumor in 2003."
Genene Jones,Female,United States,United States,North America,1970,1982,1976,12,1970s,60,58,2,Nurse convicted of murdering two infants via lethal injection. Accused of up to 60 murders.
Benjamin Geen,Male,United Kingdom,United Kingdom,Europe,2003,2004,2003,1,2000s,12,10,2,"Nurse convicted in 2006 of murdering two patients and causing grievous bodily harm to another 15 at Horton General Hospital in Banbury, Oxfordshire between 2003 and 2004. Induced illness in the patients with overdoses of drugs, in order to enjoy the 'thrill' of resuscitating them. Given 17 life sentences and ordered to serve at least 30 years imprisonment. 9 other cases were originally investigated."
Marie Fikáčková,Female,Czechoslovakia,Czechoslovakia,Europe,1957,1960,1958,3,1950s,10,8,2,Nurse who was executed by hanging in 1961 for murdering babies.
Victorino Chua,Male,United Kingdom,United Kingdom,Europe,2011,2020,2015,9,2010s,5,3,2,Poisoned several patients at Stepping Hill Hospital with insulin.
Christopher Duntsch,Male,United States,United States,North America,2011,2013,2012,2,2010s,2,0,2,"Neurosurgeon known as ""Dr. Death""; injured 33 out of 38 patients in two years resulting in two deaths."
Felícitas Sánchez Aguillón,Female,Mexico,Mexico,North America,1930,1941,1935,11,1930s,50,49,1,"Known as ""The Ogress of Roma neighborhood""; Nurse, midwife and baby farmer responsible for an unknown number of murders number during the 1930s, maybe 50 victims, in Mexico City."
Robert George Clements,Male,United Kingdom,United Kingdom,Europe,1920,1947,1933,27,1930s,4,3,1,"Believed to have murdered his four wives, all of whom died young and had their death certificates signed by Clements himself. Clements committed suicide with a morphine overdose when police came to arrest him for the murder of his fourth wife, who had died of the same cause."
Murder Incorporated,Gang,United States,United States,North America,1920,,,,<NA>s,1000,600,400,"Murder Incorporated or Murder Inc. for short was a large criminal enterprise of small contract-killing groups that were collectively known as Murder Inc. Run by Albert ""The Mad Hatter"" Anastasia and his close associates, the organization was responsible for the assassinations of key witnesses of early Cosa Nostra activities, so as to make them 'disappear' and break the case against the lead mobsters whenever they went to trial. In 1941 the group was exposed by former member Abe ""Kid Twist"" Reles and subsequently ceased to exist."
Philadelphia poison ring,Gang,United States,United States,North America,1931,1938,1934,7,1930s,114,0,114,"Gang of 16 that poisoned Italian immigrants with arsenic in order to collect their life insurance. The leaders, cousins Herman and Paul Petrillo, were executed in the electric chair in 1941 while the rest were given life sentences."
Abboud and Khajawa,Couple,Iraq,Iraq,Asia,,1917,,,<NA>s,100,0,100,"Married couple who resorted to cannibalism during a famine in Mosul. They would use their young son to lure children into their home before beating them to death, dismembering them and eating their remains or serving them to members of the public at their restaurant. They also killed and ate one adult neighbour but found that her body contained too much fat."
Delfina and María de Jesús González,Female,Mexico,Mexico,North America,1955,1964,1959,9,1950s,91,0,91,"Two sisters who ran a brothel in Mexico, hired numerous sex workers and murdered at least 80 of them after they were deemed useless during the span of 10 years. They also killed 11 men. Probably the work of four of the sisters, sentenced to 40 years in prison. Body count varies due to the combined work of the sisters being impossible to assign to them individually."
"Peng Miaoji, Ding Yunjia and Su Xiaoping",Male Group,China,China,Asia,1998,1999,1998,1,1990s,84,7,77,"Fleeing to Shaanxi, Jiangsu, Anhui, and Henan provinces and 21 provinces and cities 33 administrative villages; during 38 burglaries, killed 77 people, seriously injured three others."
David Avendaño Ballina and his followers,Gang,Mexico,Mexico,North America,1997,2007,2002,10,2000s,70,0,70,Sex servant gang who robbed and then poisoned their clients; the leader Ballina was arrested in 2008.
Hassan Orangi and Abbas Ali Zarifian,Male Group,Iran,Iran,Asia,1945,1951,1948,6,1940s,62,0,62,"Raped and murdered 62 women in Mashhad from 1945 to 1951. After his arrest, Orangi was tried, convicted, sentenced to death and later executed, while Zarifian was sentenced to 15 years for his role in the crimes."
Angel Makers of Nagyrév,Female,Hungary,Hungary,Europe,1911,1929,1920,18,1920s,300,250,50,"26 women who poisoned their husbands (sometimes also their parents, lovers and children) with arsenic under the guidance of midwife Júlia Fazekas and her accomplice, Susi Oláh."
Long Zhimin and Yan Shuxia,Couple,China,China,Asia,1983,1985,1984,2,1980s,48,0,48,Shaanxi Province Wang Shou villagers Long Zhimin and Yan Shuxia in the home has killed 48 people.
"Bian Kuang, Fu Xinyuan and Luo Lianshun",Male Group,China,China,Asia,2001,2002,2001,1,2000s,41,0,41,"Manufacturing 51 cases of murder, robbery, rape, killing 41 people. Bian Kuang personally killed 39 people."
Ivanova and Olga Tamarin,Female,Russia,Russia,Europe,1909,1918,1913,9,1910s,130,90,40,"A mother and daughter who used accomplices to lure victims to their home. Tortured, murdered, and cannibalized at least 40 people before they were apprehended."
Ryno-Skachevsky gang,Male,Russia,Russia,Europe,2006,2007,2006,1,2000s,37,0,37,"Racist skinhead gang, led by Artur Ryno and Pavel Skachevsky, who killed people from non-European ethnicities or backgrounds; both sentenced to 10 years of penal labour."
Gang of Amazons,Gang,Russia,Russia,Europe,2003,2013,2008,10,2000s,30,0,30,"Family of robbers and serial killers, led by the parents Inessa Tarverdiyeva and Roman Podkopaev."
"Dean Corll, David Owen Brooks and Elmer Wayne Henley",Male Group,United States,United States,North America,1970,1973,1971,3,1970s,29,1,28,"Corll, known as ""The Candy Man"", killed at least 28 teenage boys and young men in Houston between 1970 and 1973. Corll was then shot and killed by one of the two teenage accomplices he recruited to assist him in the abductions of the victims on 8 August 1973. This accomplice, Elmer Wayne Henley, informed the police of the trio's murders the same day Corll was murdered."
Brabant killers,Gang,"Belgium, France",Multiple Countries,Europe,1982,1985,1983,3,1980s,40,12,28,"Gang made up by at least three extremely violent robbers, none of whom was ever identified or apprehended. Their bloodlust increased dramatically in their last year of activity, when they began shooting passersby before a robbery, including children, for no seeming reason. Some have theorized links to Operation Gladio."
Adolfo Constanzo and Sara Aldrete,Couple,Mexico,Mexico,North America,1986,1989,1987,3,1980s,25,0,25,"""The Godparents of Matamoros"". Leader and second-in-command of a drug-smuggling cult that abducted men to perform human sacrifices."
Shankill Butchers,Gang,United Kingdom,United Kingdom,Europe,1975,1982,1978,7,1970s,23,0,23,"Ulster Loyalist gang led by Lenny Murphy, who killed people in sectarian attacks."
Viktor Sayenko and Igor Suprunyuk,Male Group,Ukraine,Ukraine,Europe,2007,2016,2011,9,2010s,21,0,21,"""The Dnepropetrovsk Maniacs"". A pair of 19-year-olds who, over the course of less than a month, attacked and murdered passersby while out on walks. They recorded videos of some of the murders, including one which subsequently leaked to the Internet."
Marcelo de Jesus Silva and his death squad,Gang,Brazil,Brazil,South America,,2010,,,<NA>s,20,0,20,"Brazilian man convicted of 20 counts of murder, robbery, drug trafficking and death squad. As he was only 1.28m tall, he was nicknamed Chucky and Pigmeu. Murdered in 2010 by rivals traffickers."
Wang Zongfang and Wang Zongwei,Male Group,China,China,Asia,1983,1992,1987,9,1980s,19,0,19,Killed soldiers using various arms in three provinces. Executed in 1983.
Anísio Ferreira de Sousa and followers,Gang,Brazil,Brazil,South America,1989,1992,1990,3,1990s,19,0,19,"Satanic ring that abducted, mutilated and sacrificed children in Altamira, Brazil. The leader, Ferreira de Sousa, was convicted to 77 years in prison for four murders and two attempted murders."
Ripper Crew,Gang,United States,United States,North America,1981,1982,1981,1,1980s,18,0,18,"Abducted women, mostly sex workers, then raped, tortured and killed them in Chicago, Illinois."
John Allen Muhammad and Lee Boyd Malvo,Male Group,United States,United States,North America,2002,2011,2006,9,2000s,17,0,17,"Killed seventeen people from February to September 2002 and 10 in the Beltway sniper attacks of October 2002. Muhammad was executed in 2009, while Malvo received life imprisonment."
Death Angels,Gang,United States,United States,North America,1973,1974,1973,1,1970s,73,57,16,Four African-Americans who killed at least 16 white people and injured between eight and 10 in San Francisco (Zebra murders).
Vladyslav Volkovich and Volodymyr Kondratenko,Male,Ukraine,Ukraine,Europe,1991,1997,1994,6,1990s,20,4,16,"""The Nighttime Killers"". Murdered homeless men and lone drivers with a variety of weapons."
Lainz Angels of Death,Female,Austria,Austria,Europe,1983,1989,1986,6,1980s,124,109,15,"Known as the ""Lainz Angels of Death""; Waltraud Wagner, Irene Leidolf, Stephanija Mayer, and Maria Gruber were nurses at the Lainz General Hospital in Vienna who admitted to murdering 49 patients."
The Cleaners,Gang,Russia,Russia,Europe,2014,2015,2014,1,2010s,15,0,15,"Neo-Nazi gang, led by Pavel Voitov and Elena Lobacheva, who murdered alcoholic tramps and beggars; Voitov sentenced to life imprisonment and Lobacheva to 13 years in a penal colony."
José Miculax Bux and Mariano Macú Miculax,Male Group,Guatemala,Guatemala,North America,1946,1955,1950,9,1950s,15,0,15,Cousins who killed 15 boys in 1946.
Fred West and Rosemary West,Couple,United Kingdom,United Kingdom,Europe,1967,1987,1977,20,1970s,30,18,12,"Mainly targeted young women but were also found guilty of murdering two of their own daughters. Also found guilty of raping another daughter. Buried the victims around their house and local area of Gloucester. Shortly before he killed himself in 1995, Fred West said there were more victims. At one point he confessed to killing up to 30."
Briley Brothers,Gang,United States,United States,North America,1971,1979,1975,8,1970s,12,0,12,"Three brothers and an accomplice responsible for 12 murders in the 1970s in Richmond, Virginia."
"John Justin Bunting, Robert Joe Wagner and James Spyridon Vlassakis",Male Group,Australia,Australia,Oceania,1992,1999,1995,7,1990s,12,0,12,"The bodies of eight victims were found in plastic barrels in a disused bank vault in Snowtown, South Australia. Bunting was found guilty of 11 murders, Wagner pleaded guilty to three and was convicted of a further seven murders."
Mailoni Brothers,Gang,Zambia,Zambia,Africa,2007,2013,2010,6,2010s,12,0,12,Three brothers who killed at least 12 people from 2007 to 2013. Killed by Zambia Army Commandos in 2013.
Leonard Lake and Charles Ng,Male Group,United States,United States,North America,1982,1985,1983,3,1980s,25,14,11,"Abducted women, used them as sex slaves, and then murdered them, together with any men, women, and children who got in their way. Lake killed himself upon arrest, but Ng was later convicted of killing 11 people. Between 1982 and 1985, Lake and Ng were believed to have abducted and killed as many as 25 victims, as evidenced by human remains found on Lake's California ranch."
Bloody Benders,Gang,United States,United States,North America,1871,1873,1872,2,1870s,20,9,11,"The Bender family, more well known as the Bloody Benders, were a family of serial killers in Labette County, Kansas, United States, from May 1871 to December 1872. Estimates report that the Benders killed at least a dozen travelers, and perhaps as many as twenty before they were discovered. The family's fate remains unknown, with theories ranging from a lynching to a successful escape."
Shen Changyin and Shen Changping,Male,China,China,Asia,1999,2004,2001,5,2000s,11,0,11,Found guilty of the murders of 11 sex workers. They were executed in 2006.[citation needed]
